명칭,우편번호,주소,개요,문의 및 안내,쉬는날,체험안내,체험가능연령,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
신평소공원,46040,부산광역시 기장군 일광면 일광로 582-47,"바위에 부서지는 파도 소리 들으며 거닐 수 있는 수변공원인 신평소공원은 작고 아담한 규모의 공원이지만 리드미컬한 해안선, 암초와 갯바위, 빨간 등대들이 조화를 이루는 곳이다. 해변 위에 놓인 데크길은 부산을 대표하는 산책로인 갈맷길 중 일부다. 공원 중앙에 위풍당당하게 배 한 척이 자리 잡고 있다. 은색 방향키를 돌리면 머나먼 바다 저편으로 나를 데려다줄 것만 같다. 편하게 쉴 수 있는 정자도 있고, 식사하고 커피 한잔하면서 머물다 가도 좋고, 어린이들과 고동, 꽃게 등을 찾는 재미도 누려볼 수 있다.",051-709-4085,,,,,상시 개방,있음 (5대 / 해변공터주차장 이용 가능),없음,가능,,"입 장 료:없음

화장실:있음 (남녀 구분)

입 장 료:정자, 산책로, 범선		

주차요금:무료

"
장안사계곡,46028,부산광역시 기장군 장안읍 장안로 482,부산 기장군 장안사 계곡은 신라 673년 원효대사가 창건한 천년 고찰 장안사 아래 있다. 이곳은 청정지역에서만 볼 수 있다는 반딧불이가 서식하고 있어 매년 7월 말까지는 가로등을 소등한다. 장안사 주차장 인근에 계곡이 있다는 장점에 많은 관광객이 찾는다. 장안사 계곡에서는 더욱 쾌적한 환경 유지를 위하여 야영이나 취사는 금지되어 있으니 간단하게 돗자리 깔고 나무 아래서 쉬기에 좋은 곳이다. 불광산 자락의 울창한 숲에서 전해지는 맑은 공기를 만끽하며 조용히 산책도 즐겨보자.,051-709-4085,없음,,,,상시 개방,있음,없음,가능,,"이용가능시설:장안사, 계곡 산책로, 반딧불이 공원		

시설이용료:무료

입 장 료:무료

화장실:있음 (남녀 구분)

"
은진사,46035,부산광역시 기장군 장안읍 고무로 271-47,"은진사에는 3천여 종의 야생화와 산수화 분경, 연꽃이 가득하다. 마음의 짐을 한시름 내려놓고 소담스럽게 피어난 꽃들을 보며 심신을 정화할 수 있는 곳이다. 여름에는 주황빛 능소화가 반겨주어 알록달록 꽃들의 향연 속에 미소가 절로 피어나는 곳이다. 바다와 물을 수호하는 신이 모셔진 용왕전이 있는 연못에는 울긋불긋 잉어 떼가 가득하고, 수국, 맥문동이 반갑게 맞이한다. 보기만 해도 기분이 좋아지는 포대화상, 항상 웃는 모습으로 자비와 복을 상징하는 미륵보살 앞에서 눈을 감고 조용히 마음속 소원 하나 빌면 모든 것이 다 잘 될 것이란 믿음이 솟아난다. 규모가 큰 절은 아니지만, 연못, 폭포 등 볼거리가 많은 절이다.",051-727-3766,없음,,,,상시 개방,있음,없음,가능,,"이용가능시설:법당, 용왕전, 연밭		

화장실:있음 (남녀 구분)

입 장 료:무료

주차요금:무료

"
홍연폭포,,부산 기장군 철마면 웅천리 879-47,"홍연폭포는 부산 기장군의 유일한 폭포로 거문산과 옥녀봉 사이로 흐르는 폭포다. 폭포에서 떨어지는 물줄기에 햇살이 비치면 무지개를 볼 수 있다 하여 붙여진 이름이다. 부산 기장 8경 중 하나에 꼽히는 홍연폭포 인근에는 연분홍 연꽃이 가득하다. 한없이 여유롭고 한적한 오후, 햇살 가득한 어느 날 혹시 내 앞에 나타날 무지개 편린을 만나러 가보자. 도보로 5분 거리에는 수도암이 있어 마음을 차분하게 가라앉히며 산책하기 좋다. 또한 아홉산숲과 곰내연밭도 가까운 거리에 있다.",051-709-4085,,,,,상시 개방,없음,없음,가능,,
송상현광장,47236,부산광역시 부산진구 동성로112번길 121-1(전포동),"부산 진구에 있는 송상현 광장은 임진왜란의 동래성 전투를 이끌었던 송상현 장군을 기리기 위해 조성된 공원이다. 이곳은 모너머 고개로 불리던 곳으로 부산의 외부와 내부가 나뉘는 경계선이었다. 현재는 도심 한가운데 자리 잡은 공원으로, 이곳을 들르는 사람들에게 잠시 쉬어갈 수 있는 공간을 제공한다. 넓은 공간으로 모임, 야외공연, 전시, 산책, 행사 등 다양한 활동을 할 수 있으며, 행사 관련 일정은 송상현 광장 홈페이지에서 자세히 볼 수 있다. 공원 전용 주차장이 있지만 협소하여 주말이나 공휴일에는 근처 시민공원 주차장을 이용하는 방법도 있다. 도심 한가운데서 역사적 의미와 자연의 여유로움을 느껴보자.",051-850-6081,,,,,상시 개방,주차가능,없음,가능,,"이용가능시설:문화마당, 다이내믹 부산마당, 역사마당, 바닥분수, 선큰광장, 실개천
화장실:가능 (남녀 구분)
이용가능시설:주차장, 화장실, 편의점, 카페
"
오륜대전망대,46255,부산광역시 금정구 오륜대로 229(오륜동),"부엉산 정상에 있는 오륜대 전망대로 가는 코스는 크게 4코스로 나뉜다. 첫 번째 7-1 성지곡 수원지에서 출발하여 동문에 도착하는 코스, 두 번째 7-2 동문 출발 상현마을로 도착하는 코스, 세 번째 8-1 상현마을 출발 동천교 도착, 네 번째는 9-1 상현마을 출발 이곡마을 도착하는 총 4 코스가 있다. 특히 8-1 코스는 2009년 부산 갈맷길 축제 '길 콘테스트'에서 대상을 받을 정도로 길이 평탄하다. 수영강과 회동호 주변이 제공하는 경관이 뛰어나 많은 사람들이 찾는다.",051-519-4081,,,,,상시 개방,주차가능,없음,가능,,"이용가능시설:주차장, 화장실
이용가능시설:회동저수지, 생태탐방로(대숲길), 땅뫼산 황토숲길, 땅뫼산수변데크, 정자
화장실:가능
"
미포,48098,부산광역시 해운대구 달맞이길62번길 28(중동),"해운대 동북쪽에 자리 잡은 와우산[소가 누워 있는 것같이 보인다고 해서 붙여진 이름]의 꼬리 부분에 해당하는 갯가라 하여 붙여진 이름이다. 미늘, 미암이라고도 불렸다.  와우산이 바다에 몰입되면서 형성된, 해운대 해수욕장 동쪽 끝에 있는 암석 포구로 곳곳에 암반이 넓게 나타난다.  소규모 어항과 미포 마을이 자리하고 있다. 해운대 해수욕장의 끝단에 자리하고 있어 현재는 호텔과 여관, 그리고 크고 작은 횟집들이 들어서 있으며, 예부터 앙장구, 성게, 고둥이 많이 잡히기로 유명하였고 망상어, 감성돔 등의 낚시터로 이름난 곳이기도 하다.",051-746-0969,없음,,,,00:00~24:00,없음,없음,없음,,"입 장 료:없음

"
삼익비치수변공원,48305,부산광역시 수영구 광안해변로54번길 222(남천동),"광안리해수욕장이 한눈에 들어오는 삼익비치 수변공원은 낮에는 산책이나 자전거를, 밤에는 화려한 야경을 즐기기에 더없이 좋은 장소다. 특히 부산을 대표하는 야경명소로 꼽히는 광안리해수욕장은 푸른 바다와 우리나라 최초의 2층 해상교량이자 최대 규모의 현수교를 자랑하는 광안대교가 어우러진 풍광이 압권이다. 시간대와 요일, 계절별로 무려 10만 가지 이상의 다양한 색상을 연출하는 경관 조명시설도 야경의 화려함을 더한다. 삼익비치 수변공원에서 바라보는 광안대교는 해수욕장과는 또 다른 각도로 매력을 뽐낸다. 해 질 무렵의 핑크빛 노을도 더 가까이에서 감상할 수 있다. 해마다 봄이 되면 현지인들은 물론 관광객들도 일부러 찾는 삼익비치 벚꽃길과도 연결돼 볼거리를 더한다.",051-441-6565(부산시 관광안내소),,,,,24시간,주차가능,없음,없음,,"입 장 료:
"
오시리아 해안산책로,46083,부산광역시 기장군 기장읍 시랑리 62-22,오시리아 해안 산책로는 탁 트인 바다와 중간중간 멋스러운 풍경을 바라볼 수 있는 쉼터가 잘 갖추어져 있어 아이들과 함께 걷기에도 좋다. 계절마다 피고 지는 다양한 야생화와 그림 같은 해안 절경을 따라 걷다 보면 어느새 소나무가 우거진 숲으로 이어진다. 울창한 소나무 숲이 한낮의 뜨거운 햇살을 가려줘 여름에는 더위를 잠시 피할 수도 있다. 소나무 사이로 들리는 파도 소리도 몸과 마음을 시원하게 해준다. 해안산책로 한편에는 부산 동쪽 바다를 지키는 용왕을 모신 사당인 용왕단도 자리해 눈길을 끈다. 깎아지른 절벽 위에 세워져 웅장하면서도 경건한 분위기를 풍긴다. 용왕단이 바라보이는 자리에 흔들의자도 세워져 산책의 색다른 재미를 더한다. 이곳 산책로는 지난 2019년 대한민국 조경대상에서 문화체육부 장관상을 받기도 했다.,051-709-4000,,,,,일출 ~ 일몰,주차가능,없음,없음,,"입 장 료:
"
센텀 APEC나루공원,48058,부산광역시 해운대구 수영강변대로 85(우동),"센텀 APEC나루공원은 깨끗하고 편리한 이용시설을 자랑하는 부산의 걷기 좋은 공원이다. 주말이면 피크닉과 산책 그리고 자전거 타기를 즐기는 단란한 가족들과 연인들, 그리고 친구들의 모습을 쉽게 만날 수 있다. 특히 이곳 APEC나루공원 곳곳에는 예술가의 조각 작품이 전시돼 이들을 감상하는 재미도 특별하다. 또 수영강변을 따라 걷는 산책코스도 인기인데, APEC 나루공원 입구 수영교에서 출발해 공원 끝자락에 위치한 좌수영교까지 걸어서 한 바퀴를 돌아보면 금세 부산 갈맷길 한 코스를 완주한다. 또 공원 내에 자전거대여소가 자리한다. 여기서 마음에 드는 자전거를 골라 1시간 동안 무료로 라이딩을 즐겨 봐도 좋겠다. 사고방지를 위해 헬멧도 무료로 대여해준다.",051-441-6565(부산시 관광안내소),,,,,24시간,주차가능,없음,없음,,"입 장 료:
"
안심치유정원,46206,부산광역시 금정구 체육공원로 545(두구동),"(사)안심생활이라는 사회적기업에서 운영하는 체험학습 식물원이다. 처음에는 치매 환자들을 위한 원예치료 프로그램으로 시작했지만, 지금은 일반 개인은 물론 연인이나 가족 등 누구나 함께 체험할 수 있도록 다양한 프로그램을 운영한다. 포털사이트를 통해 예약하면 '율마'나 '사랑초' 등 다양한 종류의 화분을 직접 심어서 가져갈 수 있다. 평소 화초 가꾸기 경험이 없더라도 '사랑초'의 구근 시기부터 '율마' 화분 흙의 비율 등 처음부터 끝까지 초보자의 눈높이에 맞춰 자세하면서도 이해하기 쉽게 설명해준다. 체험프로그램 전후에는 정원을 마음껏 둘러볼 수 있다. 실내하우스에는 '제라늄'과 '베고니아' 등 사시사철 다양한 종류의 꽃들이 정성스레 가꾸어져 있어 보는 눈이 즐겁다.","051-911-7650, 0507-1351-8234",매주 일요일,화분 가꾸기,,,09:30 ~ 18:00,주차가능,없음,없음,,"입 장 료:없음/ 체험비 1인 15,000원<br>※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망
"
곰내연밭,,부산광역시 기장군 철마면 웅천리 254-4,"부산에서 여름에 가볼 만한 곳으로 인기가 많은 곳이다. 부산 기장군에 있으며, 철마중리연꽃공원이라고도 불린다. 연꽃 개화 시기는 7월부터 8월 사이라 이 시기에 방문하면 가득 핀 연꽃을 볼 수 있다. 연꽃, 연잎과 함께 개구리나 다양한 곤충들도 볼 수 있어 어린이들과 함께하기 좋다. 근처에는 산책하기 좋은 곰내재 숲속 쉼터도 있고, 연잎이나 연을 재료로 하는 식당도 있다. 공원 내 음식물 섭취 금지이며 반려동물은 동반할 수 있으나 땅이 질척한 편이라 산책 시 유의해야 한다.",051-709-4000,없음,,,,00:00 - 24:00,없음,없음,가능,,"입 장 료:없음		

"
송정역,48073,부산광역시 해운대구 송정중앙로8번길 60(송정동),"부산 해운대구 송정동에 있는 기차역이다. 동해안의 해산물과 자원 수송을 목적으로 부설한 동해남부선에 속한다. 동해남부선은 1918년에 경주와 포항, 1935년에 부산과 울산, 경주까지 개통되며 오랜 세월 사람들의 발이 되어 주었다. 특히 바다를 끼고 달리는 창 밖 풍경이 아름답기로 손에 꼽혔다. 송정역은 1934년에 역무원이 배치된 간이역으로 영업을 시작해 1941년 보통 역으로 승격했다. 이때 역사를 새로 지은 것으로 보이는데 운산역, 단촌역과 유사한 1940년대 기차역의 건축적 특징을 고스란히 간직하고 있다. 1976년에 화물 업무가 중지됐지만, 철도사적 가치를 인정받아 등록문화재로 지정됐다. 최근 동해남부선의 옛 철길을 활용한 해운대 해변열차의 시작역과 종착역으로 새롭게 단장하며 많은 관광객이 찾고 있다.",051-441-6565(부산시 관광안내소),,,,,09:30 ~ 18:00,주차가능,없음,없음,,"입 장 료:
"
가덕해양파크휴게소,46770,부산광역시 강서구 거가대로 2571(천성동),"부산~거제 간 연결 도로의 휴게소로 천혜의 자연을 가득 담은 풍경 맛집이다. 부산의 서쪽 끝 가덕도에 있어 드넓은 야외테라스와 힐링 산책로에서 광활한 바다 풍경을 즐길 수 있는 곳이다. 어린왕자 등 여러 가지 조형물과 벚꽃나무 군락이 있어 사진 찍기 좋은 포인트가 곳곳에 마련되어 있고, 뒤편에는 맘껏 뛰어놀 수 있는 넓은 광장과 먼바다 풍경을 조망할 수 있는 전망대도 있다. 부산~거제 간 연결 도로의 핵심인 가덕해저터널에 대한 모든 것이 전시된 세계 최대수심 해저터널 연결도로 홍보전시관도 볼거리다.",051-715-2200,없음,,,,00:00~24:00,있음,없음,없음,,"입 장 료:없음		

"
해운대수목원,,부산 해운대구 석대동 26,"본래 쓰레기 매립장이었던 곳을 수목원으로 재개발한 곳이다. 부산 시민공원보다 규모가 크다. 시원하게 뻗은 편백숲과 다양한 나무들, 향기원, 허브길, 생태습지원 등 테마별 정원이 있다. 당나귀와 타조, 양, 염소 등 동물들을 만나볼 수 있는 친환경 미니 동물원도 있다. 산책로 따라 거니는 동물들과 교감하는 특별한 경험을 할 수 있다. 어린이들이 마음껏 뛰어놀 수 있는 어린이 놀이원도 있어 온 가족이 함께하기 좋은 곳이다.",051-888-7131,매주 월요일,"수목원 사계절 보물찾기, 수목원 교실, 숲체험, 주말 만들기 체험 프로그램 등 숲해설 프로그램 운영",,,09:00 ~ 17:00 (관람종료 1시간 전까지 입장 가능),있음,없음,불가,,"입 장 료:없음		

"
해리단길,,부산광역시 해운대구 우동 510-7,"부산 해운대 도시철도역 4번 출구에서 옛 해운대 기차역 뒤편 기찻길을 건너면 해리단길이 시작된다. 해리단길은 서울의 경리단길에서 아이디어를 얻은 이름이다. 좁은 도로를 따라 다양한 개성의 카페와 음식점들이 속속 생겨나면서 해운대의 떠오르는 명소로 자리매김했다. 골목길 담벼락에 그려진 위트 넘치는 벽화를 비롯해 자유로운 거리 분위기를 즐길 수 있어 시민들은 물론 관광객들도 일부러 찾아오는 핫플레이스다. 사진 찍기 좋은 아기자기한 외관의 카페와 식당, 색다른 기념품을 판매하는 소품 숍, 비정기적으로 열리는 플리마켓 등 다채로운 볼거리가 발길을 끌어모은다. 해운대구청에서는 해리단길 상권 활성화를 위해 젠트리피케이션 방지 조약에 이어서 상생협약까지 체결한 상태다.",051-749-2909,,,,,,있음(공영주차장),없음,없음,,"입 장 료:
"
낙동강 생태탐방선,,부산광역시 사하구 하단동 1149-10,"낙동강 물줄기를 따라 에코투어를 즐길 수 있는 프로그램이다. 부산 을숙도에서 출발하여 일웅도와 대동, 물금까지 운행하기 때문에 동선에 따라 자신에게 알맞은 코스를 선택할 수 있다. 4월부터 10월까지 운항하는 낙동강 생태탐방선은 사전예약 후 탑승할 수 있다. 승선신고서 작성을 위해 신분증을 반드시 지참해야 하며 탑승 20분 전까지 탑승장에 도착해야 한다. 최대 30명까지 승선 가능한 탑승선은 쾌적하고 넓은 내부를 자랑한다. 탐방선이 출발하면 생태탐방 해설사가 낙동강의 생태와 역사에 관해 설명해준다. 유익한 해설을 들은 후에는 탐방선 2층에서 따뜻한 햇볕과 시원한 강바람을 맞으며 아름다운 낙동강 풍광을 눈에 담을 수 있다. 낙동강 생태탐방선의 특징 중 하나는 친환경에너지를 사용한다는 것인데, 2층에서 태양광발전기와 풍력발전기를 통해 에너지를 얻는 모습을 직접 관찰할 수 있다. 또 선내에 망원경이 비치되어 멀리 있는 풍경까지 더욱 자세한 생태탐방이 가능하다.",051-294-2135,매주 월요일,,,,10:00 ~ 17:00,주차가능(공영주차장),없음,없음,,"입 장 료:성인 5,000 ~ 10,000원 / 청소년 3,000 ~ 7,000원<br>※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망
"
대연수목전시원,48529,부산광역시 남구 신선로447번길 24(대연동),"대연수목전시원은 부산 남구 대연동에 자리한 유엔기념공원을 50m 폭으로 감싸 안으며 자리한 녹지공간이다. 뒤편으로 평화공원과도 연결된다. 부산광역시립박물관 등 부산의 대표적인 관광지들과 접근성이 뛰어나다. 원래 양묘장으로 설립하여 운영하던 것을 지난 2002년 가족 단위의 자연체험이 가능하도록 새롭게 단장하여 대연수목전시원으로 이름을 바꾸고 시민들에게 개방했다. 아열대식물체험관과 유리온실을 비롯해 허브원, 침엽수림원, 오륙도원, 수벽원, 낙엽교목원, 상록활엽수원, 죽림원, 무궁화품종원, 유실수원 등 식물의 생태별로 약 600종의 수목이 구획을 지어 전시돼 있다. 이들 사이로 산책로가 다듬어져 있어 여유롭게 걸으며 식물을 감상할 수 있다.",051-888-6870,,숲해설프로그램,,,24시간,주차가능,없음,없음,,"입 장 료:
"
부산라벤더팜,46049,부산광역시 기장군 철마면 개좌로 679-30,"기장군에 자리한 부산 라벤더팜은 라벤더와 로즈마리를 전문으로 재배하는 농장이다. 이곳에서 생산된 라벤더와 로즈마리는 증기증류법을 통해 에센셜오일과 플로럴워터로 생산해 판매한다. 부산 라벤더팜은 라벤더 시즌인 5~7월과 알밤 시즌인 9~10월에 농장을 개방해 방문객들에게 특별한 경험을 선물한다. 특히 라벤더 시즌에는 보랏빛 물결이 일렁이는 풍경으로 눈길을 사로잡는다. 짙푸른 산자락에 둘러싸인 라벤더밭이 마치 수채화를 보는 것처럼 싱그럽다. 곳곳에 보라색 파라솔과 테이블을 시작으로 온통 보랏빛으로 단장한 조형물들이 세워져 사진을 찍기에도 좋다. 입장료를 지불하면 그 금액만큼 라벤더 화분이나 농장에서 생산된 미스트, 오일, 방향제 등과 교환할 수 있다.",051-721-6253,,,,,,주차가능,없음,없음,,"입 장 료:1인 5,000원<br>※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망
"
다대포항,,부산 사하구 다대동 375-17,"다대포항은 부산에서도 가장 서쪽에 위치하고 있는 항구이다. 부산항처럼 무역항이 아니라 대형어선은 없는 주로 중소형 어선이 많은 작고 아담한 항구이다. 바다에서 잡아온 수산물을 경매하는 위판장이 있고 수산시장이 함께 있어서 갓 잡아온 신선한 생선을 저렴한 가격으로 살 수도 있다. 어선이 많이 정박해 있는 곳이다 보니 주변에 대형 가공공장, 냉동공장이 위치하고 있고 회센터도 많이 자리하고 있어서 계절마다 신선한 수산물을 구경하고 맛볼 수 있는 곳이다. 다대포항과 이어진 다대포해수욕장과 함께 일출, 일몰로 유명한 곳이라 사진을 찍으러 오는 사람들을 쉽게 볼 수 있다. 특히 일출 명소로 알려져 있는데 일출 일몰 때에는 포구 한쪽에 세워져 있는 나무선착장이 어우러지며 그림 같은 풍경이 연출된다. 몰운대전망대로 올라가서 다대포항을 바라보면 산에 둘러 쌓여있는 듯한 다대포항을 내려다볼 수 있는데 작은 항구라 포근한 느낌을 준다. 이곳이 알려지면서 아름다운 장관도 보고 신선한 수산물을 맛보러 오는 발걸음이 늘고 있다.",1330,없음,,,,,있음,없음,가능,,"주차요금:없음

입 장 료:무료		

이용가능시설:매점, 횟집		

화장실:있음

"
미포항,48098,부산광역시 해운대구 달맞이길62번길 33-1(중동),미포항은 해운대해수욕장 동쪽 끝자락에 위치한 작은 포구로 이른 아침부터 인근 바다에서 잡아온 물고기들을 내리는 작은 어선들과 선착장에서 고기와 해산물을 사려는 사람들로 활기찬 곳이다. 갓 잡아 올린 신선한 해산물을 맛볼 수 있는 횟집과 포장마차가 즐비하다. 그물을 손질하는 어부들의 모습과 햇볕에 말리고 있는 그물의 모습들이 주는 소소한 풍경이 있는 조용한 항구이다. 영화 ‘해운대’의 남녀 주인공이 식당과 포장마차를 운영하던 곳으로 나온 미포항은 바다를 바라보며 회와 소주 한 잔을 기울일 수 있는 명소이기도 하다. 미포항 바로 위로는 최근 한 예능 프로그램에서 나온 동해남부선 철길이 있다. 철길을 따라 탁 트인 바다를 감상하며 평상시에는 걸어볼 수 없는 철길을 걷기 위해 이곳을 찾는 발걸음이 늘고 있다. 미포항 - 동백섬 - 광안대교 - 이기대 - 오륙도를 둘러보는 코스의 해운대 관광유람선을 탈 수 있는 선착장이 있다. 낮에는 시원한 바닷바람을 맞으며 주변을 둘러볼 수 있고 밤에는 해운대 주변의 야경을 보기 위해 유람선을 타려고 이곳을 찾는 사람들도 많다. 아침을 활기차게 시작해서 한낮의 여유로움으로 편안함을 느끼고 멋진 일몰과 야경까지 즐길 수 있다.,051-749-5720,연중무휴,,,,상시,가능,없음,가능,,"화장실:있음

이용가능시설:매점, 횟집		

입 장 료:무료		

주차요금:없음

"
부산남항,49042,부산광역시 영도구 대평북로 6(대교동1가),"부산남항은 부산항의 바로 옆에 위치하고 있으며 영도대교와 남항대교까지 이르는 항구가 이곳에 해당한다. 부산의 상징인 자갈치시장을 포함해, 부산공동어시장, 그 너머 영도의 남항동이 자리하고 있다. 특히 영도의 남항동에는 크고 작은 조선소들이 많은데 주로 배를 수리하는 곳들이다. 한국전쟁 피난시절 수많은 사람들이 이곳에 터전을 가꾸고 오랜 세월을 버티며 살아온 작은 마을이라 사람 사는 냄새가 많이 베인 곳이다. 반대편인 남부민동에는 국내 최대의 수산물 위판장인 부산공동어시장이 자리하고 있어 냉동창고나 가공공장들이 가득하다. 그 옆으로는 자갈치시장과 항구가 맞닿아 있어서 신선한 수산물들을 싸게 구입할 수 도 있고 맛볼 수도 있어 항상 지역 사람들과 관광객들이 어울려 북적이는 곳이다. 부산남항의 입구에 남항대교가 있다. 남항대교는 부산 서구 안남동과 영도구 영선동을 연결해주는 다리이다. 다리 양쪽 끝에 엘리베이터와 계단이 있어 대교 위에 올라서면  부산 앞바다의 전경이 멋지게 펼쳐진다. 부산에서도 전망 좋은 곳으로 입소문이 나면서 찾는 발걸음이 많아지고 있다. 남항대교 아래로 수변공원도 조성되어 있어서 돗자리를 깔고 휴식을 취하는 지역주민들도 있고, 낚시를 즐기러 오는 강태공들도 많이 찾은 곳이다.",1330,없음,,,,상시 개방,있음,없음,가능,,"촬영장소:영화 해운대

이용가능시설:매점, 횟집		

화장실:있음

입 장 료:무료		

주차요금:없음

"
관음사,49316,부산광역시 사하구 제석로79번길 33(당리동),"도심 안에 자리 잡은 관음사는 대한불교 조계종 송광사의 부산 분원이다. 학을 타고 있는 산이라는 뜻의 승학산에 1940년 5월 1일 승려 일련이 관음사라는 조그만 조막을 지어 수행하고 포교하면서 건립되었다. 이후 요사채를 건립하고, 법당과 후원을 짓고 도량을 넓혀, 1984년 승광사 부산 분원으로 등록하였다. 또한, 관음사는 부산광역시 문화재 자료 제60호로 지정된 『묘법연화경』을 소장하고 있다. 조선 전기인 태종 때에 판각·인쇄된 것으로 조선 전기 불경 및 서지학 연구에 중요한 자료를 제공하는 불교사적, 서지학적 가치가 뛰어난 문화재로 불교의 대표적 대승경전으로 널리 알려져 있다. (네이버 백과사전 발췌)",051-294-9300,,,,,일출후 ~ 일몰전,주차가능,없음,없음,,"화장실:있음 (남/녀구분)
"
국제크루즈터미널,49111,부산광역시 영도구 해양로301번길 17(동삼동),"2007년 4월 개장한 국제크루즈터미널은 초대형 여객선이 안전하게 취항할 수 있도록 11.8m의 깊은 수심을 확보하고 있으며, 입출국 관련 시설 및 세관 시설까지 편리한 서비스를 갖춘 곳이다. 부산항만공사가 관리하고 있는 국제크루즈터미널은 26,839.57㎡의 대지면적에, 2,568.78㎡의 건물이 들어서 있다. 건물 1층은 CIQ (세관(Customs), 출입국관리(Immigration), 검역(Quarantine)의 약칭. 출입국 때 반드시 거쳐야 하는 3대 수속)시설과 1층 대합실 등이 있고, 2층은 매표소, 2층 대합실, 업무용 사무실 등이 있어 편리하게 이용할 수 있다. 또한 수하물 검색장과 면세물 인도장은 별관 2동에 따로 있다. 국제크루즈터미널은 부산항을 기점으로 한 관광에 새로운 성장 동력이 되고 있다.",051-405-6154,,,,,상시개방,주차가능,없음,가능,,"화장실:가능 (남/녀구분)
이용가능시설:주차장, 크루저 정박지
이용가능시설:주차장, 화장실
"
감지해변,49126,부산광역시 영도구 감지길 110(동삼동),"부산 태종대 옆에 자리한 감지해변은 길이 270m, 폭 40m의 크기에 부산에서는 보기 힘든 조약돌이 깔린 아기자기한 해변이다. 수려한 경관과 바다 위로 드리운 일몰이 아름다워 뷰 포인트로 각광받고 있는 곳이다. 도심에서 30분 정도의 거리에 있어 접근성이 좋다. 각양각색의 다이빙 포인트가 많아 스킨스쿠버 다이빙을 즐기러 오는 다이버들에게 많은 사랑을 받는 곳이기도 하다. 감지 해변의 해안선을 따라 약 3㎞의 길이로 조성된 감지해변 산책로는 어린이를 동반해도 무리 없을 정도로 경사가 완만하고, 야생초 꽃밭은 청소년들의 자연학습장으로 더할 나위 없이 좋다. 산책 후 태종대 유원지 부설주차장에 자리 잡은 조개구이촌에서 즐기는 바다 내음 가득한 신선한 조개구이도 빼놓지 말아야 할 코스이다.",051-419-4064,연중무휴,,,,,가능 (유료/ 태종대입구 공용주차장),없음,없음,,"화장실:있음 (남/녀구분)

한국어 안내서비스:있음

"
감천동편부두 / 감천항,49277,부산광역시 서구 원양로 6(암남동),"부산 감천항은 북항, 남항, 다대항, 신항과 함께 부산항을 구성하는 대표적인 항만으로 동편, 서편, 중앙 부두로 나누어져 있다. 감천동편부두는 1984년 12월 착공하여 1991년 공영부두로 개장했다. 부산은 북태평양과 남태평양 어장 중간에 위치한 지리적 이점이 있어 수산물 유통 및 가공 업체 냉동냉장창고들이 밀집되어 있다. 2018년 4월 1층 주차장, 2층 화장실과 샤워실, 3층 휴게실로 구성된 편의시설을 추가로 건설했다. 주변에 부산 국제 수산물 도매시장이 들어서 있고, 감천동편부두 아래쪽에 위치한 감천항 동방파제는 사시사철 낚시가 가능한 천혜의 낚시터로 손꼽힌다. 수심과 조류가 원활하고 다양한 물고기가 많이 잡혀 낚시꾼이 많이 찾는 명소가 되었다.",051-240-4061,없음,,,,,있음?,없음,가능,,"이용가능시설:방파제 낚시		

주차요금:없음

입 장 료:없음		

화장실:있음 (남/녀구분)

"
사상근린공원,46989,부산광역시 사상구 가야대로 35(감전동),"사상 근린공원은 다양한 테마공간이 마련되어 있어 아이들과 야외 활동을 하기 좋은 놀이공간이다. 동화 이상한 나라의 앨리스를 주제로 한 시계 광장을 시작으로 유아 숲 체험장인 작은 숲속 나라, 어린이 놀이터인 신비의 숲, 모험심을 기를 수 있는 모험의 성 등이 있다. 놀이장 상단부 숲속 쉼터에는 동화에 등장하는 동물들을 실제로 만나볼 수 있는 소규모 체험장도 마련되어 있어,  동화 속에 와있는 듯한 행복감을 준다.  그 외에도 바운스 돔, 짚 라인, 바닥분수대, 사상 정원, 솔밭쉼터 등 아이들이 재밌고 즐겁게 뛰어놀면서 모험심도 기르고, 꿈도 키울 수 있는 공원이다. 어른들을 위한 산책로도 있다.",070-4010-8130,"매주 월요일, 1/1, 설날/추석 당일 휴무",,,,09:00~18:00,있음?,없음,가능,,"이용가능시설:각종 놀이기구		

입 장 료:없음		

화장실:있음 (남/녀구분)

주차요금:없음

한국어 안내서비스:있음

"
